Game ID,Rental Date,Return Date,Customer ID
46,09-04-2023,14-04-2023,1096
47,10-04-2023,15-04-2023,1097
48,11-04-2023,16-04-2023,1098
49,12-04-2023,17-04-2023,1099
50,13-04-2023,18-04-2023,1100
51,14-04-2023,19-04-2023,1101
52,15-04-2023,20-04-2023,1102
53,16-04-2023,21-04-2023,1103
54,17-04-2023,22-04-2023,1104
55,18-04-2023,23-04-2023,1105
56,19-04-2023,24-04-2023,1106
57,20-04-2023,25-04-2023,1107
58,21-04-2023,26-04-2023,1108
59,22-04-2023,27-04-2023,1109
60,23-04-2023,28-04-2023,1110
61,24-04-2023,29-04-2023,1111
62,25-04-2023,30-04-2023,1112
63,26-04-2023,01-05-2023,1113
64,27-04-2023,02-05-2023,1114
65,28-04-2023,03-05-2023,1115
66,29-04-2023,04-05-2023,1116
67,30-04-2023,05-05-2023,1117
68,01-05-2023,06-05-2023,1118
69,02-05-2023,07-05-2023,1119
70,03-05-2023,08-05-2023,1120
71,04-05-2023,09-05-2023,1121
72,05-05-2023,10-05-2023,1122
73,06-05-2023,11-05-2023,1123
74,07-05-2023,12-05-2023,1124
75,08-05-2023,13-05-2023,1125
76,09-05-2023,14-05-2023,1126
77,10-05-2023,15-05-2023,1127
78,11-05-2023,16-05-2023,1128
79,12-05-2023,17-05-2023,1129
80,13-05-2023,18-05-2023,1130
81,14-05-2023,19-05-2023,1131
82,15-05-2023,20-05-2023,1132
83,16-05-2023,21-05-2023,1133
84,17-05-2023,22-05-2023,1134
85,18-05-2023,23-05-2023,1135
86,19-05-2023,24-05-2023,1136
87,20-05-2023,25-05-2023,1137
88,21-05-2023,26-05-2023,1138
89,22-05-2023,27-05-2023,1139
90,23-05-2023,28-05-2023,1140
91,24-05-2023,29-05-2023,1141
92,25-05-2023,30-05-2023,1142
93,26-05-2023,31-05-2023,1143
94,27-05-2023,01-06-2023,1144
95,28-05-2023,02-06-2023,1145
96,29-05-2023,03-06-2023,1146
97,30-05-2023,04-06-2023,1147
98,31-05-2023,05-06-2023,1148
99,01-06-2023,06-06-2023,1149
100,02-06-2023,07-06-2023,1150
1,30-10-2023,31-10-2023,4321
2,30-10-2023,,4321
