ID,Title,Platform,Genre,Purchase Price,Purchase Date
79,Crash Bandicoot 4: It's About Time,PlayStation 4,Platformer,59.99,02-10-2020
80,Dark Souls Remastered,PC,Action-RPG,39.99,24-05-2018
82,Borderlands 2,PlayStation 3,Action-RPG,19.99,18-09-2012
87,Divinity: Original Sin 2,PC,CRPG,44.99,14-09-2017
89,Marvel's Spider-Man,PlayStation 4,Action-Adventure,39.99,07-09-2018
90,Genshin Impact,Android,Action RPG,8.99,28-09-2020
91,God of War,PlayStation 4,Action-Adventure,39.99,20-04-2018
92,Celeste,Nintendo Switch,Platformer,19.99,25-01-2018
93,Fallout 4,PC,RPG,29.99,10-11-2015
94,StarCraft II,PC,Real-Time Strategy,19.99,27-07-2010
95,Mortal Kombat 11,PC,Fighting,39.99,23-04-2019
96,Dead Space,Xbox 360,Horror,19.99,14-10-2008
97,The Sims 4,PlayStation 4,Life Simulation,39.99,17-11-2017
98,Rocket League,Nintendo Switch,Sports,19.99,14-11-2017
99,The Elder Scrolls IV: Oblivion,Xbox 360,RPG,14.99,20-03-2006
100,Half-Life: Alyx,PC,First-Person Shooter,59.99,23-03-2020
101,Bioshock Infinite,PlayStation 3,First-Person Shooter,19.99,26-03-2013
